Clone,Rater,Maternal Parent,Paternal Parent,Cross,EVAL Year,EVAL Location,Rel/BRD,Mature Leaf Color,Branching,Plant Type,Climbing,Flower Habit,Savoy,Vigor,Color Uniformity,Overall App.,Comments,,Breeding
7809-016,,6690-009,OP,6690-009xOP,2008,METH,4,p,,,,,,,,,"purple mina type, greenhouse selection",,
7813-092,,7402-033,OP,7402-033xOP,2008,HCRS,"1,SC",1,5,mcom,,3,,5,6,5,"SC-Ill tweener lime, good uniformity, purple edge on immatures",,
7813-095,,7402-033,OP,7402-033xOP,2008,HCRS,"6b,7",1,5,mcom,,5,,6,7,7,"sulfur lime with big flowers, some scent, some spotting",,
7814-014,,7402-006,OP,7402-006xOP,2009,HCRS,1SC,0-1,7,mcom,,5seed,,6,7,7,"uniform lime-yellow tweener, nice, slight blushing on immatures",,
7814-018,,7420-066,OP,7420-066xOP,2009,HCRS,SC,0,5,mcom,,3,,6,6,6,"yellow with vigor, slight blushing on immature leaves, cross with reds",,
7815-004,,7405-037,OP,7405-037xOP,2009,HCRS,"9, 11",1,3,mcom,,-,,6,6,5,crown with red tips,,
7816-004,,7415-016,OP,7415-016xOP,2008,HCRS,"8,",1,7,v com,,-,,6,5,5,"Mounded lime with leaves upright very good underside veins that are visible, no upperside veins, very full, spikey",,
7816-048,,7415-016,OP,7415-016xOP,2009,HCRS,4,0-1,5,mcom,,-,,7,6,5,"half hastate, half lobed leaves, similar to mr. penis on hastate leaves, some cupping",,
7816-065,,7415-016,OP,7415-016xOP,2008,HCRS,"8,11",1,3,com up,,-,,6,6,6,"Lime meatball with very upright leaf angle, moderate underside veins, full but not by branching",,
7817-005,,7416-027,OP,7416-027xOP,2008,HCRS,6,0,3,"mcom, low",,2,,2,4,4,"Red tipped lime with irregular petal teeth, different maternal had flower type, weak plant",,
7818-008,,7420-143,OP,7420-143xOP,2008,HCRS,9,1,7,mcom,,4,,7,7,6,"Red tipped lime, needs more tips, very uniform, good transition and good contrast for true lime",,
7818-010,,7420-143,OP,7420-143xOP,2008,HCRS,6,1,7,mcom- com,,7,,6,5,5,"Lobed lime with large flowers, some split corollas and starting to double, many flowers but not inside, very good plant, fat central lobe",,
7818-011,,7420-143,OP,7420-143xOP,2008,HCRS,"6,9",1,5,mcom,,6,,3,6,5,"Red tipped lime with split corollas, 80 percent down, all petals split, rounded, good red tip, some spotting",,
7819-009,,7420-146,OP,7420-146xOP,2008,HCRS,4,1-2,5,com-mcom,,6,,2,5,4,"Some single lobe leaves rest very deep, 40 percent single lobed",,
7819-010,,7420-146,OP,7420-146xOP,2008,HCRS,4,1-2,5,com,,6,,3,4,4,"Some leaves single love to very deep, varies by branch and within branch approximately 50 percent single lobe, breeding only",,
7820-001,,7420-218,OP,7420-218xOP,2008,HCRS,1,0-1,7,"com, sl up",,3,,5,6,6,"Ill lime, exc. plant, narrow central loves, slightly brz tips X for ill.",,
7820-030,,7420-218,OP,7420-218xOP,2009,HCRS,9,1,7,mcom,,3,,6,6,5,"slight virus, good tip distribution, red tipper",,
7822-001,,7420-314,OP,7420-314xOP,2008,HCRS,"9,8",1-2,5,mcom-sl up,,-,,4,6,5,"Red tipped lime, very lime base with dark tips held high, moderate upper and lower side veins",,
7822-002,,7420-314,OP,7420-314xOP,2008,HCRS,"9,11",0,5,mcom,,4,,3,6,5,"Bronze tipped yellow, good uniformity, OK plant",,
7823-001,,7420-412,OP,7420-412xOP,2008,HCRS,9,1,5,mcom,,4,,6,7,6,"SC-S tweener, red tips, good base uniformity, g-tip dist, mostly 3-lobed, ok transition",,
7825-013,,7426-002,OP,7426-002xOP,2008,HCRS,"6,SC",1,5,mcom,,7,,5,5,5,"SC lime with fair flower visibility-open habit, some leaf spot and virus, nice color",,
7825-014,,7426-002,OP,7426-002xOP,2008,HCRS,"6,SC",1,5,mcom-com,,7,,6,6,6,"SC lime, many flowers, good uniformity and plant",,
7827-010,,7439-037,OP,7439-037xOP,2008,HCRS,SC,0-1,7,mcom-com,,b5,,6,5,6,"SC yellow, very good plant, modest leaf size, good color, cute, red edges on immature",,
7828-002,,7440-020,OP,7440-020xOP,2008,HCRS,1,2,7,mcom,,b7,,7,8,6,"very deeply lobed green, narrow central lobe, mostly 3 lobes, collect seed. half lime",,
7829-002,,7462-015,OP,7462-015xOP,2008,HCRS,4,"P1, pink var",7,"com, sl up",,4,,3,,5,"Pink-purple varieigation, good contrast and plant",,
7829-005,,7462-015,OP,7462-015xOP,2008,HCRS,1,P3,7,"mcom-com, sl up",,b1,,6,7,6,"Purple illusion, exc color, very good plant,cross into illusion red for lobing, central lobe a bit fat, nice",,
7833-013,,7483-018,OP,7483-018xOP,2009,HCRS,4,8 P1 var,5,mcom,,5,,6,-,3,"poorly variegated with green margins on 20 percent of leaves, bottom lobes slightly cupped, for margin only",,
7838-005,,7194-018,OP,7194-018xOP,2008,HCRS,4,cr gr var,5,mcom,,6,,3,-,4,"Ghost heart, very yellow, high virus, weak, cross into reds and red tippers",,
7838-007,,7194-018,OP,7194-018xOP,2008,HCRS,4,cr gr var,7,com,,5,,3,-,6,"Ghost SC, very small leaves, lots of yellow , no burning, flowers issue, 3 of 4 no stigma, cute",,
7840-009,,4718-001,OPLF2012,4718-001xOPLF2012,2008,HCRS,6b,1,5,mcom,,6,,6,7,6,"SC-Ill lime tweener, very good color uniformity, large flw, slight virus",,
7840-058,,4718-001,OP,4718-001xOP,2008,HCRS,"2,9,4",1,7,"mcom, up",,b6,,8,6,6,"Heart to slightly lobed lime, very good uniformity, exellent. vigor, nice appearance, long central lobe, solid lime, no pigment",,
7840-059,,4718-001,OP,4718-001xOP,2008,HCRS,SC,1,7,"mcom, com, sl up",,3,,6,7,7,"SC lime, very good uniformity and plant, almost no pigment",,
7840-063,,4718-001,OP LF,4718-001xOP LF,2009,HCRS,6a,0-1,5,"sl tr, low",,7,,4,5,4,"dark lavender visible flowers on yellow so-so splant, slight burning",,
7840-074,,4718-001,OP LF,4718-001xOP LF,2008,METH,3,1,,,,,,,,,"fairly uniform lime heart, greenhouse selection",,
7843-052,,6797-012,OP,6797-012xOP,2008,HCRS,9,0-1,7,mcom-sl up,,6,,8,6,6,"Bronze tipped SC, good uniformity, weak tips ,excellent vigor, nice color but needs more tip color, thin peduncles",,
7844-018,,6863-080,OPLF2012,6863-080xOPLF2012,2008,HCRS,4ruf,0-1,5,mcom-low,,6,,5,4,5,"Ruffled, deeply lobed lime, small leaf, flw",,
7844-026,,6863-080,OPLF2012,6863-080xOPLF2012,2008,METH,SC,1,,,,,,,,,"nice uniform lime, sweet caroline type leaf, greenhouse selection",,
7845-021,,6880-006,OP,6880-006xOP,2009,HCRS,6,1,5,mcom,,5,,4,5,5,"one plant died, uniform lime with medium lavender visible flowers, fat central lobe",,
7845-024,,6880-006,OP,6880-006xOP,2009,HCRS,6a,1,7,mcom-com,,6,,6,7,6,"nice lime with visible flowers, good plant and color uniformity, slight bronzing at tips, nice",,
7846-018,,7071-002,OP,7071-002xOP,2008,HCRS,SC,1,5,"mcom, sl up",,4,,6,6,6,"SC lime, mostly 3 lobed, g. uniformity, free flowering, very little pigment",,
7846-034,,7071-002,OP,7071-002xOP,2009,HCRS,6,,,,,,,,,,"lime with split corolla, for flowering only",,
7847-010,,7198-026,OP,7198-026xOP,2008,HCRS,"1,6",1,5,mcom-sl up,,6,,8,,6,"Vigorous, uniform deeply lobed lime, free flowering, some leaf blade overlap",,
7847-011,,7198-026,OP,7198-026xOP,2008,HCRS,4ruf,1,7,mcom-com,,b1,,7,5,5,"Vigorous deeply lobed red tipped lime with ruffling and twisting, some virus, very good plant",,
7847-013,,7198-026,OP,7198-026xOP,2008,HCRS,"1,6",1,7,mcom,,5,,8,7,6,"Very uniform, very vigorous deeply, lobed lime, split corolla, avg halfway down, moderately fat lobes",,
7847-022,,7198-026,OP LF,7198-026xOP LF,2009,HCRS,6a,1,5,mcom,,8seed,,6,5,5,"red tipped lime, flowers very visible due to fine texture of leaves, many flowers with seed",,
7850-005,,6631-016,OP,6631-016xOP,2008,HCRS,4,P2,5,m com,,b6,,5,5,5,"super long, pointy tipped with toothing,  odd, irregular",,
7853-010,,7189-009,OP PH,7189-009xOP PH,2008,METH,4,p,,,,,,,,,"purple mina type, greenhouse selection",,
7856-006,,4626-002,OP,4626-002xOP,2008,HCRS,3,P1-P2,9,mcom-com,,-,,7,5,6,"sm heart-spade purple, long tip, small leaf size and very well branched, cross with 7742-051",,
7859-005,,5237-014,OP,5237-014xOP,2008,HCRS,"3,5",8,5,"tr, sl up",,2,,7,3,5,"trailing, sm ht purple with reddish purple tips, nice heart shape, trailing -sl up",,
7861-013,,6631-016,OP PF,6631-016xOP PF,2008,METH,4,P2,,,,,,,,,"purple, fine willow, almost weeping, greenhouse selection",,
7862-009,,6631-032,OP PF,6631-032xOP PF,2009,HCRS,6a,6-8,3,sl tr,,8seed,,5,4,3,"rounded, lobed flowers, very visible flowers, breeding only",,
7862-015,,6631-032,OP,6631-032xOP,2008,HCRS,6,P1,5,mcom- com,,7,,5,7,4,"For flw only, partial doubling on outside base of flw, different, 6&7 & anthers, 1 in 4 split corolla",,
7864-007,,5309-019,OP,5309-019xOP,2008,HCRS,4 sav,P2,5,"up, mcom",,-,,5,7,6,"savoy, hastate S-type, good plant, good savoy, moderate leaf size, less savoyed in older leaves",,
7864-017,,5309-019,OP,5309-019xOP,2008,HCRS,11,P4,5,"mcom-sl up, sl open",,-,,6,6,6,"SC purple type, with some extra lobes, mostly 5 lobes, cross with crowns",,
7867-134,,5431-001,OP,5431-001xOP,2008,HCRS,4,P1 pink var,7,"mcom-com, sl up",,-,,6,-,5,"Purple-pink var with ruffled-savoyed leaves, very good  plant, ends greeniush but interesting",,
7867-187,,5431-001,OP,5431-001xOP,2008,HCRS,4,"P2, P1 var",7,mcom-com,,-,,3,-,6,"Purple pink var, good contrast, plant match with 6712-057",,
7869-090,,6923-004,OP,6923-004xOP,2008,METH,4,white pink grn var,,,,,,2,,,"very pale pink-white variegation, greenhouse selection",,
7869-154,,6923-004,OP,6923-004xOP,2008,METH,4,pink pur var,,,,,,,,,"dark pink purple variegation, greenhouse selection",,
7869-225,,6923-004,OP,6923-004xOP,2008,METH,4,pink pur var,,,,,,5,,,"bright pink purple variegated, look at next year, greenhouse selection",,
7869-254,,6923-004,OP,6923-004xOP,2008,METH,4,pink purp var,,,,,,,,,"pink purple variegated heart, greenhouse selection",,
7869-261,,6923-004,OP,6923-004xOP,2009,HCRS,4,grn crm var,5,"low, mcom-com",,5seed,,4,-,6,"fine speckled green cream variegation with bright pink tips, nice",,
7870-033,,6923-005,OP,6923-005xOP,2009,HCRS,4,P3 var,5,mcom,,b4,,4,-,6,"dark purple variegated with hot pink tips, subtle variegation, tips stand out",,
7872-094,,6923-007,OP VAR HCRS,6923-007xOP VAR HCRS,2008,METH,4,crm grn pk var,,,,,,2,,,"pale white variegation, greenhouse selection",,
7873-010,,6923-007,OP VAR HFL,6923-007xOP VAR HFL,2008,METH,4,11 8 var,,,,,,,,,"very reddish variegation, visible in greenhouse, greenhouse selection",,
7875-018,,6923-008,OP,6923-008xOP,2008,HCRS,4,"P2, P1 var",5,mcom-com,,3,,4,-,5,"Purple pink var, with toothed, irregular leaves, so-so contrast, very nice plant",,
7893-002,,6779-018,7239-025,6779-018x7239-025,2008,HCRS,4mar,11-8,5,mcom,,7,,4,5,5,Red SC with some margins ,,
7895-008,,7278-004,SELF,7278-004xSELF,2008,METH,4,crm pk grn var,,,,,,,,,"cream-pink variegation with very good distribution and uniformity of speckles, greenhouse selection",,
7904-022,,6259-009,6995-015,6259-009x6995-015,2008,HCRS,4sav,1,5,mcom-sl up,,-,,7,6,5,"SC lime for moderate savoy, good color uniformity",,
7913-001,,0848-006,6751-045,0848-006x6751-045,2008,METH,5,6,,,,,,,,,"moderate climber, greenhouse selection",,
7913-002,,0848-006,6751-045,0848-006x6751-045,2008,HCRS,5,6-10,7,clm,,-,,3,2,3,"climber, very poor color, lime tips",,
7913-002,,0848-006,6751-045,0848-006x6751-045,2009,HCRS,5,8,7,clm,,-,,5,3,3,"weak purple with very good climbing, half red, breeding only",,
7913-003,,0848-006,6751-045,0848-006x6751-045,2008,METH,5,6,,,,,,,,,"moderate climber, greenhouse selection",,
7917-001,,6751-045,6762-001,6751-045x6762-001,2008,HCRS,5,"P1,8",7,"com, clm",,b1,,5,5,4,"purple climber, weak color, full, loses hearts and color",,
7935-001,,6096-041,4295-001,6096-041x4295-001,2008,HCRS,"1,SC",P3-11,7,mcom-com,,-,,6,4,5,"Purple-red tweener, purple with reddish tone, thick stems, lime tips but not fiesta",,
7935-009,,6877-005,6877-005,6877-005x6877-005,2008,HCRS,11,P3,5,mcom,,b1,,8,7,5,"purple lobed for crown crosses, part red",,
7940-004,,6851-001,6176-002,6851-001x6176-002,2008,HCRS,"1,11",11,3,mcom,,-,,6,7,6,"Red tweener, irregular lobing with some teeth on lobes, graft for irr lobing, color",,
7940-005,,6851-001,6176-002,6851-001x6176-002,2008,HCRS,"1,11,SC ",11,3,mcom,,-,,6,6,7,"illusion red, very good color and plant, tweener, nice",,
7940-006,,6851-001,6176-002,6851-001x6176-002,2008,HCRS,1,11,5,com,,,,4,7,6,"illusion red, dark color, very compact plant, yellow tips hidden, fat central lobe",,
7940-012,,6851-001,6176-002,6851-001x6176-002,2008,HCRS,1,11,3,com,,b6,,2,6,5,"illusion red, a bit weak but good color and dark",,
7940-014,,6841-001,6176-002,6841-001x6176-002,2008,HCRS,SC,11,3,mcom-com,,b3,,4,7,6,"Dark red-purple SC type, fat central lobe. Good overall color",,
7940-014,,6851-001,6176-002,6851-001x6176-002,2009,HCRS,,,,,,,,,,,does not hold onto color late into season,,
7940-015,,6851-001,6176-002,6851-001x6176-002,2009,HCRS,"1, 11, SC",11,5,mcom,,2,,5,6,,"even toned red with purple undertones, crown type leaf",,
7947-001,,7013-002,6859-014,7013-002x6859-014,2009,HCRS,4,11-8,5,mcom-sl up,,-,,5,2,4,"very strange leaf, bottom hastate, top lobed with some irregular toothing at lobe junction",,
7948-002,,7019-001,6809-001,7019-001x6809-001,2008,HCRS,1,0-1,7,mcom-com,,-,,7,6,6,"illusion lime, exc uniformity and vigor, but fat central lobe",,
7952-007,,5372-002,6679-020,5372-002x6679-020,2008,HCRS,4 cup,P1,7,mcom- com,,5,,7,5,4,"very good cupping, moderate savoy, light purple ht, good angle for cupping, irregular savoy",,
7954-002,,6543-001,5372-002,6543-001x5372-002,2008,HCRS,4 sav,6-7,3,com. up,,-,,4,3,6,"outstanding savoy, cupping and toothing, nice appearance, poor color, very thick stems",,
7962-002,,6738-042,5372-002,6738-042x5372-002,2009,HCRS,4,8,5,mcom,,-,,5,3,4,"lobed cupper, very good cupping, lobes twist slightly around cup, interesting",,
7971-001,,4868-014,6184-018,4868-014x6184-018,2009,HCRS,1,0,5,mcom,,5,,4,7,6,"true yellow, no burning, slightly fat central lobe, cross for red illusion",,
7973-005,,6038-002,OP,6038-002xOP,2008,HCRS,"3,9",1-2,5,"mcom, up",,b3,,7,5,5,"Red tipped lime heart, nice hearts, medium small size, slight virus, too lime",,
7973-016,,6038-002,OP,6038-002xOP,2008,HCRS,3,1,5,mcom-sl up,,-,,8,5,5,"Lime heart, fair cupping and savoy, slight leaf spotting, full vigor, nice hearts",,
7973-018,,6038-002,OP,6038-002xOP,2008,HCRS,"9,3",1,5,mcom,,-,,7,4,4,"Red tipped lime heart, moderate savoy, nice hearts, mod to small leaves, slight leaf spotting",,
7973-022,,6038-002,OP,6038-002xOP,2008,HCRS,"9,3",1,5,"mcom, sl up, sl tc",,b1,,7,6,5,"Red tipped lime heart, Tips somewhat exerted and bright, nice plant with hearts, slight virus",,
7983-001,,6809-020,OP,6809-020xOP,2008,HCRS,5,1,7,clm,,-,,5,5,6,"Bronze tipped lime climber, mostly 3 lobed, long central lobe, very full",,
7988-026,,7149-001,6951-004,7149-001x6951-004,2008,HCRS,"9,3",1,5,com,,-,,4,5,5,"Bronze tipped light lime, tips held high, nice form, muddy transition,very good tip distribution",,
7988-035,,7149-001,6951-004,7149-001x6951-004,2008,HCRS,"3,9",1,7,"mcom-com, sl up",,-,,7,6,6,"Bronze tipped lime, very nice upright plant, not showing tips well, nice heart but some teeth, slight virus",,
7988-039,,7149-001,6951-004,7149-001x6951-004,2008,HCRS,"4,7",1,7,"up, mcom-com",,-,,7,5,5,"bronze tipped Sulfur type picked by Betsy for rosetting, good plant, cupping at tip leads to rosetting",,
7988-040,,7149-001,6951-004,7149-001x6951-004,2008,HCRS,3,0-1,7,"com-mcom, sl up",,-,,5,4,6,"bronze tipped lime, low visibility of tips, loses color, nice plant, mod savoy",,
7988-044,,7149-001,6951-004,7149-001x6951-004,2008,HCRS,7,1,7,"up,com",,-,,7,6,6,"Lettuce-like lime, S-type, dense, good uniformity, no pigment",,
8007-016,,7243-001,4666-001,7243-001x4666-001,2008,METH,4,crm pink var,,,,,,4,,,"very pale variegated heart, low vigor, higher stability, greenhouse selection",,
8019-037,,4061-001,6939-001,4061-001x6939-001,2008,HCRS,"3,R",10,5,"mcom-, sl up",,-,,6,6,6,"Brz ht, good. vigor, slight virus, moderate leaves",,
8019-039,,4061-001,6939-001,4061-001x6939-001,2008,HCRS,3;R,11,3,mcom,,-,,3,5,6,"Red heart, good color, ends greeish but mostly hidden by fat central lobe",,
8019-042,,4061-001,6939-001,4061-001x6939-001,2008,HCRS,3,11,3,sl tr,,b3,,4,5,5,"Small ht brz, good tone, variable leaf size, could have a window box box habit, fades more to bronze than green",,
8019-062,,4061-001,6939-001,4061-001x6939-001,2008,HCRS,"3,10",11,3,mcom-sl tr,,b1,,5,5,5,"Heart-toothed red, good tone, ends a bit greenish, variable leaf size cross with 7400s, slight virus",,
8022-001,,5181-001,5717-004,5181-001x5717-004,2008,HCRS,"3,R",8-11,5,mcom,,-,,4,5,5,"Red heart, nice color but fades somewhat, virus",,
8023-009,,5717-004,5181-001,5717-004x5181-001,2008,HCRS,"3,R",11,3,com,,-,,3,6,6,"Red heart, excellent tone, med-large leaf, a bit weak. Better than 6406-003, reciprocal of 6939-001",,
8024-030,,5973-009,6279-002,5973-009x6279-002,2008,HCRS,3.,12,3,mcom,,-,,2,6,5,"Orange heart, very weak, breeding only, long hearts, use for yellow base, cross with dark reds",,
8026-033,,5973-009,6939-001,5973-009x6939-001,2008,HCRS,3,12,3,"mcom, low",,-,,3,3,5,"Brz heart, very nice hearts, but washes to pink, weak, cross with purple-red hearts",,
8026-103,,5973-009,6939-001,5973-009x6939-001,2008,METH,4,11,,,,,,,,,"blotch variegatino, heart leaf red, greenhouse selection",,
8026-130,,5973-009,6939-001,5973-009x6939-001,2008,HCRS,4,8-10 var,3,com,,-,,2,-,2,"sport w/ dark purple sectors-blotches, field rescue",,
8026-169,,5973-009,6939-001,5973-009x6939-001,2008,HCRS,3,10-6,5,mcom- com,,-,,3,6,4,"small ht red, greenish-bronze color but small hearts, cross with good reds for small hts",,
8026-187,,5973-009,6939-001,5973-009x6939-001,2008,HCRS,3,10,5,mcom,,-,,5,5,5,"bronze-red heart, good hts, ends greenish, virus",,
8026-214,,5973-001,6939-001,5973-001x6939-001,2008,HCRS,3,10-11,3,sl tr-mcom,,-,,4,4,5,"sm ht brz-red, good tone but ebg",,
8032-002,,6279-002,6939-001,6279-002x6939-001,2008,HCRS,"7,R",11,5,mcom,,-,,7,6,7,"S-Red, dark red with high vigor, full plant. Vigor match with sulfur, interplant with sulfur",,
8032-012,,6279-002,6939-001,6279-002x6939-001,2008,HCRS,3,11,3,mcom,,-,,3,6,6,"Red heart, med leaf size, low vigor, more fan heart than good heart, very good. color",,
8035-008,,6762-002,6939-001,6762-002x6939-001,2008,HCRS,"3,R",11,3,mcom- sl tr,,-,,5,5,6,"SH Red, good color, fades more to bronze than green",,
8035-008,,6762-002,6939-001,6762-002x6939-001,2009,HCRS,R,,,,,,,,,,"still very good red heart late in season, put into trials",,
8044-005,,4403-002,4295-001,4403-002x4295-001,2008,HCRS,8,"5,1",3,mcom-sl tr,,-,,4,,4,"excellent underside and very good upperside veining, one of the best, dark stems too, poor color uniformity",,
8044-012,,4403-002,4295-001,4403-002x4295-001,2008,HCRS,8,"5,1",3,mcom,,b1,,4,6,5,"Veined, lobed lime, excellent underside, good upperside, rounded tips on lobes",,
8044-015,,4403-002,4295-001,4403-002x4295-001,2008,HCRS,"8,9","5,1",3,mcom-sl tr,,-,,6,4,4,"Veined lime, deeply lobed 8-9 lobes with high lobing below blade-petiole junction,looks like an upside down crown",,
8044-024,,4403-002,4295-001,4403-002x4295-001,2008,HCRS,"8,9","5,1",3,mcom,,-,,3,5,5,"Veined, red tipped lime",,
8044-025,,4403-002,4295-001,4403-002x4295-001,2009,HCRS,8,1,5,mcom,,-,,6,5,5,"lime with good upper, excellent lower side veins, ok plant and uniformity",,
8044-033,,4403-002,4295-001,4403-002x4295-001,2008,HCRS,"8,9","5,1",3,mcom,,-,,4,5,4,"Veined, red tipped lime, excellent underside, good uppderside, fat central lobe some with tooth at tip",,
8044-040,,4403-002,4295-001,4403-002x4295-001,2008,HCRS,8,"5,1",5,mcom,,-,,5,7,6,"Veined SC lime, good uniformity, very good underside, good upperside veins",,
8044-046,,4403-002,4295-001,4403-002x4295-001,2008,METH,8,1,,,,,,,,,"veined lime, very visible in greenhouse, greenhouse selection",,
8044-098,,4403-002,4295-001,4403-002x4295-001,2008,HCRS,8,"5,1",3,mcom-sl tr,,-,,5,5,4,"BW lobed lime with good veins, decent rosettes, OK color uniformity slight leaf spot",,
8044-116,,4403-002,4295-001,4403-002x4295-001,2008,HCRS,4savoy 8,1,3,"mcom-com, sl up",,-,,6,5,4,"Savoy lime, brz tips, deeply lobed but very fat central lobes, exc underside and fair upperside veins, tips hidden",,
8044-122,,4403-002,4295-001,4403-002x4295-001,2008,HCRS,9,39448,3,mcom,,-,,4,6,5,"Red tipped lime with excellent upper and under side veins, very lime-green",,
8048-001,,7135-002,2711-003,7135-002x2711-003,2008,HCRS,5,0-1,7,"clm, mcom",,-,,6,5,6,"Climbing lime-yellow, some veins, good plant, different background, probably not good climbing",,
8049-001,,7135-002,6259-009,7135-002x6259-009,2008,HCRS,8,0-1,3,"mcom, low",,-,,4,2,3,"Veined yellow, excellent veins but washes badly, purple stems",,
8052-002,,7143-004,7199-003,7143-004x7199-003,2008,HCRS,8,2,3,sl tr-tr,,-,,4,3,3,"great veins, excellent vein visability on upperside immature, fades on mature, irregular leaves, lime flowering background",,
8052-004,,7143-004,7199-003,7143-004x7199-003,2008,HCRS,5,2-5,7,clm,,-,,7,6,5,"Climbing green, new clm background, good underside veins",,
8053-006,,5717-004,7239-025,5717-004x7239-025,2008,HCRS,3 red,P2,5,mcom,,-,,6,6,5,"heart to lightly lobed purple, good color and plant, cross with heart reds,  only g. hearts, hearts a bit long",,
8054-005,,6176-002,6939-001,6176-002x6939-001,2008,HCRS,"1, SC",11-8,5,mcom,,-,,4,5,6,"tweener, very good color",,
8054-005,,6176-002,6939-001,6176-002x6939-001,2009,HCRS,,,,,,,,,,,"very uniform dark red color late in season, does not wash, few extra teeth",,
8058-007,,6779-018,6176-002,6779-018x6176-002,2008,HCRS,"7, SC",11,5,mcom,,-,,3,6,6,"SC Red but may be too weak, smaller leaves",,
8059-002,,6783-010,7067-023,6783-010x7067-023,2008,HCRS,"1,7",11,3,mcom,,b2,,3,7,6,"tweener red, excellent color, weak plant, fat central lobe, open",,
8059-005,,6783-010,7067-023,6783-010x7067-023,2008,HCRS,SC,11,3,mcom,,-,,5,6,6,"SC Red, excellent color, big leaf, breeding only, some virus",,
8059-008,,6783-010,7067-023,6783-010x7067-023,2009,HCRS,,,,,,,,,,,"high washing late in season, EBG",,
8059-009,,6783-010,7067-023,6783-010x7067-023,2008,HCRS,SC R,11,5,"mcom-com, sl up",,-,,3,6,7,"SC Red, excellent color, decent match with Raven",,
8059-010,,6783-010,7067-023,6783-010x7067-023,2008,HCRS,"SC,7",11,5,"mcom-com, sl up",,-,,5,6,6,"SC Red-S type tweener, mostly 3 lobed, breeding only",,
8059-015,,6783-010,7067-023,6783-010x7067-023,2008,HCRS,"1,SC",11,5,mcom-sl tr,,b1,,6,6,5,"tweener, good colo , ends greenish, some virus",,
8059-024,,6783-010,7067-023,6783-010x7067-023,2008,HCRS,1;SC,11,5,"mcom, sl up",,-,,3,6,5,"tweener, good color, 1 plant missing",,
8060-001,,6783-010,7444-006,6783-010x7444-006,2008,HCRS,SC,11,3,mcom,,3,,3,7,6,"SC Red type, good color but poor vigor, flowering",,
8061-013,,6783-010,7570-011,6783-010x7570-011,2008,HCRS,1,11,3,"mcom, sl low",,-,,5,6,6,"Ill red, big leaves, moderately fat central lobe, a bit loose",,
8061-016,,6783-010,7570-011,6783-010x7570-011,2008,HCRS,SCR,11,3,mcom,,-,,4,7,8,"sc red type, excellent color and plant",,
8068-020,,6998-053,6939-001,6998-053x6939-001,2008,METH,SC,11,,,,,,,,,"good red tone in greenhouse, look at in 2013, lobed with square base, greenhouse selection",,
8068-027,,6998-053,6939-001,6998-053x6939-001,2008,HCRS,1,11,7,mcom-com,,-,,6,6,6,"Ill Red parent- not deep enough, excellent color and plant",,
8068-032,,6998-053,6963-001,6998-053x6963-001,2008,HCRS,SC,11,5,mcom,,-,,4,5,5,"SCish but squarish base, leaf not SC, ends bronze",,
8068-040,,6998-053,6963-001,6998-053x6963-001,2008,METH,SC,11,,,,,,,,,"good red tone in greenhouse, look at in 2013, lobed with square base, greenhouse selection",,
8076-002,,7067-023,6863-046,7067-023x6863-046,2008,HCRS,"1,SC",11,3,mcom,,b6,,2,6,5,"tweener, very good color, very weak, breeding only, different background",,
8081-006,,7549-014,7239-025,7549-014x7239-025,2008,METH,1,11,,,,,,,,,"deeply lobed red with illusion leaf, good central lobe width, green house selection",,
8099-001,,7129-001,7239-015,7129-001x7239-015,2008,HCRS,"11,4ruf",1,5,"mcom, low",,b3,,7,3,4,"Ruffled crown lime, holds older leave, low growing",,
8099-002,,7129-001,7239-015,7129-001x7239-015,2008,HCRS,11,2,5,"sl tr, low",,b3,,8,5,3,"green lobed, somewhat crownish, good underside veins, 7 lobed",,
8101-003,,7194-004,7239-015,7194-004x7239-015,2008,HCRS,4ruf,1,5,"mcom, low",,3,,7,5,5,"Ruffled lime, excellent vigor, 20 percent corkscrew lower lobes",,
8101-004,,7194-004,7239-015,7194-004x7239-015,2008,METH,11,1,,,,,,,,,"crownish lime leaf, look at next year, greenhouse selection",,
8102-001,,7218-004,7774-006,7218-004x7774-006,2008,HCRS,11,8,5,"up,  com",,-,,8,6,4,"green with purple underside, crown, good crown depth, highly variable toothing-lobing",,
8102-002,,7218-004,7774-006,7218-004x7774-006,2008,METH,11,6,,,,,,,,,"crown-african leaf, slightly purple, greenhouse selection",,
8102-003,,7218-004,7774-006,7218-004x7774-006,2008,HCRS,11,7-8,3,m com,,-,,6,4,5,"purple crown, highly variable lobing from toothed to 7, toothing on lobe, some very big, on any lobe cross with yellows",,
8102-004,,7218-004,7774-006,7218-004x7774-006,2008,HCRS,11,"8,P1",5,"up, com",,-,,7,3,4,"purple crown, very good plant, toothing on central lobe, sometimes multiple, good crown depth, cross with yellow toother",,
8102-005,,7218-004,7774-006,7218-004x7774-006,2008,METH,11,P1,,,,,,,,,"crown-african leaf, light purple, greenhouse selection",,
8102-007,,7218-004,7774-006,7218-004x7774-006,2008,METH,11,8,,,,,,,,,"crown-african leaf, slightly purple, greenhouse selection",,
8103-001,,7218-004,7795-001,7218-004x7795-001,2008,HCRS,11,8,5,"up, com",,,,7,7,5,"crown with highly variable number of lobes,green-purple undersides, some toothing on lobes,  5-9 lobes, good plant",,
